customer_id,company_name,contact_name,contact_title,address,phone,fax
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,1029,(93) 203 4560,(93) 20>3 4561
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,1030,(95) 555 82 82,
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,1031,(11) 555-9482,
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,1032,(503) 555-7555,
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,1033,(2) 283-2951,(2) 283-3397
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,1034,(21) 555-0091,(21) 555-8765
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,1035,(5) 555-1340,(5) 555-1948
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,1036,(503) 555-6874,(503) 555-2376
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,1037,2967 542,2967 3333
ISLAT,Island Trading,Helen Bennett,Marketing Manager,1038,(198) 555-8888,
KOENE,Königlich Essen,Philip Cramer,Sales Associate,1039,0555-09876',
LACOR,La corne d''abondance,Daniel Tonini,Sales Representative,1040,30.59.84.10,30.59.85.11
LAMAI,La maison d''Asie,Annette Roulet,Sales Manager,1041,61.77.61.10,61.77.61.11
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1042,(604) 555-3392,(604) 555-7293
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,1043,(509) 555-7969,(509) 555-6221
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,1044,069-0245984,069-0245874
LETSS,Let's Stop n' Shop,Jaime Yorres,Owner,1045,(415) 555-5938,
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,1046,(9) 331-6954,(9) 331-7256
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,1047,(8) 34-56-12,(8) 34-93-93
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,1048,(503) 555-9573,(503) 555-9646
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,1049,035-640230,035-640231
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,1050,(02) 201 24 67,(02) 201 24 68
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,1051,(514) 555-8054,(514) 555-8055
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,1052,0342-023176,
NORTS,North/South,Simon Crowther,Sales Associate,1053,(171) 555-7733,(171) 555-2530
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,1054,(1) 135-5333,(1) 135-5535
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,1055,(907) 555-7584,(907) 555-2880
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,1056,0221-0644327,0221-0765721
PARIS,Paris spécialités,Marie Bertrand,Owner,1057,(1) 42.34.22.66,(1) 42.34.22.77
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,1058,(5) 552-3745,(5) 545-3745
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,1059,6562-9722,6562-9723
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,1060,(1) 356-5634,
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,1061,(21) 555-4252,(21) 555-4545
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,1062,(11) 555-1189,
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,1063,0372-035188',
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,1064,(1) 123-5555,(1) 123-5556
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,1065,(505) 555-5939,(505) 555-3620
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,1066,0522-556721,0522-556722
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,1067,(21) 555-3412,
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,1068,0897-034214',
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,1069,(91) 745 6200,(91) 745 6210
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,1070,07-98 92 35,07-98 92 47
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,1071,(208) 555-8097,
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,1072,(171) 555-1717,(171) 555-5646
SIMOB,Simons bistro,Jytte Petersen,Owner,1073,31 12 34 56,31 13 35 57
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,1074,(1) 47.55.60.10,(1) 47.55.60.20
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,1075,(307) 555-4680,(307) 555-6525
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,1076,(071) 23 67 22 20,(071) 23 67 22 21
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,1077,(503) 555-3612,
THECR,The Cracker Box,Liu Wong,Marketing Assistant,1078,(406) 555-5834,(406) 555-8083
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,1079,0251-031259,0251-035695
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,1080,(5) 555-2933',
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,1081,(11) 555-2167,(11) 555-2168
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,1082,(206) 555-8257,(206) 555-2174
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,1083,86 21 32 43,86 22 33 44
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,1084,78.32.54.86,78.32.54.87
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,1085,26.47.15.10,26.47.15.11
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,1086,0711-020361,0711-035428
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,1087,981-443655,981-443655
WELLI,Wellington Importadora,Paula Parente,Sales Manager,1088,(14) 555-8122,
WHITC,White Clover Markets,Karl Jablonski,Owner,1089,(206) 555-4112,(206) 555-4115
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,1090,90-224 8858,90-224 8858
WOLZA,Wolski Zajazd,Zbyszek Piestrzeniewicz,Owner,1091,(26) 642-7012,(26) 642-7012
